53,Čaj - mátový       ,1.0,55.00,22.02.2023
94,Jägermeister 4cl   ,2.0,120.00,22.02.2023
108,Grog               ,1.0,68.00,22.02.2023
201,Čokoládovo-ořechový dort ,2.0,178.00,22.02.2023
202,Pistáciový dort    ,1.0,89.00,22.02.2023
220,Pana Cotta         ,1.0,69.00,22.02.2023
10,Espresso           ,3.0,156.00,23.02.2023
11,Espresso Lungo     ,8.0,416.00,23.02.2023
14,Cappuccino         ,4.0,260.00,23.02.2023
16,Espresso Macchiato ,3.0,165.00,23.02.2023
17,Latté Macchiato    ,1.0,69.00,23.02.2023
21,Vídeňská káva      ,1.0,62.00,23.02.2023
22,Alžírská káva      ,1.0,69.00,23.02.2023
37,"Jemně perlivá 0,33l ",1.0,39.00,23.02.2023
39,"Ledový čaj - broskev 0,33l ",1.0,49.00,23.02.2023
41,Rauch džus,1.0,49.00,23.02.2023
42,Rauch džus,1.0,49.00,23.02.2023
44,Rauch džus,1.0,49.00,23.02.2023
45,"Chito Tonic 0,25l  ",1.0,49.00,23.02.2023
47,Karafa vody 1l     ,1.0,65.00,23.02.2023
74,Lillet Wild Berry  ,2.0,218.00,23.02.2023
103,"Chardonnay 0,2l    ",2.0,120.00,23.02.2023
104,"Cabernet - červené 0,2 ",1.0,60.00,23.02.2023
105,"Prosecco - Alzaia Glera 0,1l ",2.0,98.00,23.02.2023
109,"Pinot Gris 0,2l    ",1.0,60.00,23.02.2023
200,Lotus dort         ,7.0,623.00,23.02.2023
201,Čokoládovo-ořechový dort ,1.0,89.00,23.02.2023
202,Pistáciový dort    ,1.0,89.00,23.02.2023
205,Koňak špička dort  ,1.0,89.00,23.02.2023
206,Meruňka jogurt dort ,1.0,89.00,23.02.2023
240,Obal               ,1.0,6.00,23.02.2023
10,Espresso           ,1.0,52.00,23.02.2023
11,Espresso Lungo     ,1.0,52.00,23.02.2023
48,Čaj - černý Earl Grey ,1.0,55.00,23.02.2023
71,Aperol Spritz      ,1.0,109.00,23.02.2023
200,Lotus dort         ,1.0,89.00,23.02.2023
201,Čokoládovo-ořechový dort ,1.0,89.00,23.02.2023
10,Espresso           ,2.0,104.00,24.02.2023
11,Espresso Lungo     ,4.0,208.00,24.02.2023
12,Espresso Doppio    ,2.0,136.00,24.02.2023
14,Cappuccino         ,4.0,260.00,24.02.2023
16,Espresso Macchiato ,3.0,165.00,24.02.2023
17,Latté Macchiato    ,1.0,69.00,24.02.2023
19,Long Black         ,1.0,60.00,24.02.2023
20,Babyccino          ,1.0,34.00,24.02.2023
22,Alžírská káva      ,1.0,69.00,24.02.2023
32,Domácí limonáda,1.0,65.00,24.02.2023
42,Rauch džus,2.0,98.00,24.02.2023
44,Rauch džus,1.0,49.00,24.02.2023
47,Karafa vody 1l     ,2.0,130.00,24.02.2023
51,Čaj - ovocný       ,2.0,110.00,24.02.2023
53,Čaj - mátový       ,1.0,55.00,24.02.2023
75,Lillet Pink Spritz ,2.0,218.00,24.02.2023
105,"Prosecco - Alzaia Glera 0,1l ",6.0,294.00,24.02.2023
109,"Pinot Gris 0,2l    ",2.0,120.00,24.02.2023
201,Čokoládovo-ořechový dort ,1.0,89.00,24.02.2023
203,Mechový dort       ,1.0,99.00,24.02.2023
204,Punčový dort       ,1.0,89.00,24.02.2023
206,Meruňka jogurt dort ,1.0,89.00,24.02.2023
207,Rafaelo dort       ,1.0,89.00,24.02.2023
231,Quiche             ,2.0,158.00,24.02.2023
10,Espresso           ,1.0,52.00,24.02.2023
11,Espresso Lungo     ,1.0,52.00,24.02.2023
48,Čaj - černý Earl Grey ,1.0,55.00,24.02.2023
71,Aperol Spritz      ,1.0,109.00,24.02.2023
200,Lotus dort         ,1.0,89.00,24.02.2023
201,Čokoládovo-ořechový dort ,1.0,89.00,24.02.2023
10,Espresso           ,8.0,416.00,25.02.2023
11,Espresso Lungo    ,12.0,624.00,25.02.2023
12,Espresso Doppio    ,1.0,68.00,25.02.2023
14,Cappuccino        ,14.0,910.00,25.02.2023
16,Espresso Macchiato ,3.0,165.00,25.02.2023
17,Latté Macchiato    ,5.0,345.00,25.02.2023
22,Alžírská káva      ,1.0,69.00,25.02.2023
30,Domácí limonáda,1.0,65.00,25.02.2023
31,Domácí limonáda,1.0,65.00,25.02.2023
32,Domácí limonáda,3.0,195.00,25.02.2023
35,"Royal Crown Cola 0,25l ",2.0,98.00,25.02.2023
37,"Jemně perlivá 0,33l ",3.0,117.00,25.02.2023
44,Rauch džus,1.0,49.00,25.02.2023
47,Karafa vody 1l     ,2.0,130.00,25.02.2023
48,Čaj - černý Earl Grey ,1.0,55.00,25.02.2023
50,Čaj - Jasmín a zelený čaj ,1.0,55.00,25.02.2023
53,Čaj - mátový       ,1.0,55.00,25.02.2023
71,Aperol Spritz      ,1.0,109.00,25.02.2023
75,Lillet Pink Spritz ,1.0,109.00,25.02.2023
77,Mimosa             ,1.0,90.00,25.02.2023
78,Nealko Aperol      ,1.0,109.00,25.02.2023
103,"Chardonnay 0,2l    ",1.0,60.00,25.02.2023
105,"Prosecco - Alzaia Glera 0,1l ",28.0,1372.00,25.02.2023
107,Svařené víno       ,1.0,65.00,25.02.2023
109,"Pinot Gris 0,2l    ",2.0,120.00,25.02.2023
110,"Pilsner Urquell 0,33l ",1.0,49.00,25.02.2023
200,Lotus dort         ,8.0,712.00,25.02.2023
201,Čokoládovo-ořechový dort ,2.0,178.00,25.02.2023
202,Pistáciový dort    ,3.0,267.00,25.02.2023
203,Mechový dort       ,4.0,396.00,25.02.2023
204,Punčový dort       ,4.0,356.00,25.02.2023
205,Koňak špička dort  ,2.0,178.00,25.02.2023
206,Meruňka jogurt dort ,2.0,178.00,25.02.2023
208,Red Velvet         ,2.0,198.00,25.02.2023
220,Pana Cotta         ,2.0,138.00,25.02.2023
235,Škvarková pomazánka kavárna ,3.0,327.00,25.02.2023
0,Zaokrouhlení       ,1.0,0.50,26.02.2023
10,Espresso           ,6.0,312.00,26.02.2023
11,Espresso Lungo    ,20.0,1040.00,26.02.2023
12,Espresso Doppio    ,1.0,68.00,26.02.2023
13,Americano          ,2.0,110.00,26.02.2023
14,Cappuccino         ,2.0,130.00,26.02.2023
15,Flat White         ,1.0,75.00,26.02.2023
16,Espresso Macchiato ,2.0,110.00,26.02.2023
17,Latté Macchiato    ,9.0,621.00,26.02.2023
18,Espresso Tonic     ,1.0,75.00,26.02.2023
20,Babyccino          ,3.0,102.00,26.02.2023
21,Vídeňská káva      ,5.0,310.00,26.02.2023
22,Alžírská káva      ,1.0,69.00,26.02.2023
30,Domácí limonáda,5.0,325.00,26.02.2023
32,Domácí limonáda,2.0,130.00,26.02.2023
36,"Royal Crown Cola Zero 0,25l ",1.0,49.00,26.02.2023
37,"Jemně perlivá 0,33l ",2.0,78.00,26.02.2023
41,Rauch džus,1.0,49.00,26.02.2023
42,Rauch džus,1.0,49.00,26.02.2023
44,Rauch džus,2.0,98.00,26.02.2023
49,Čaj - Levandule&heřmánek ,2.0,110.00,26.02.2023
51,Čaj - ovocný       ,5.0,275.00,26.02.2023
75,Lillet Pink Spritz ,1.0,109.00,26.02.2023
78,Nealko Aperol      ,1.0,109.00,26.02.2023
79,"Nealko Sekt 0,2l   ",0.5,47.50,26.02.2023
103,"Chardonnay 0,2l    ",1.0,60.00,26.02.2023
105,"Prosecco - Alzaia Glera 0,1l ",2.0,98.00,26.02.2023
107,Svařené víno       ,3.0,195.00,26.02.2023
108,Grog               ,1.0,68.00,26.02.2023
200,Lotus dort         ,3.0,267.00,26.02.2023
201,Čokoládovo-ořechový dort ,7.0,623.00,26.02.2023
202,Pistáciový dort    ,8.0,712.00,26.02.2023
203,Mechový dort       ,5.0,495.00,26.02.2023
204,Punčový dort       ,4.0,356.00,26.02.2023
205,Koňak špička dort  ,2.0,178.00,26.02.2023
206,Meruňka jogurt dort ,1.0,89.00,26.02.2023
207,Rafaelo dort       ,2.0,178.00,26.02.2023
209,Kofila dort        ,2.0,178.00,26.02.2023
10,Espresso           ,1.0,52.00,27.02.2023
11,Espresso Lungo     ,3.0,156.00,27.02.2023
12,Espresso Doppio    ,1.0,68.00,27.02.2023
14,Cappuccino         ,1.0,65.00,27.02.2023
15,Flat White         ,2.0,150.00,27.02.2023
17,Latté Macchiato    ,1.0,69.00,27.02.2023
22,Alžírská káva      ,1.0,69.00,27.02.2023
30,Domácí limonáda,1.0,65.00,27.02.2023
37,"Jemně perlivá 0,33l ",1.0,39.00,27.02.2023
86,"Jack Daniels 0,04l ",2.0,170.00,27.02.2023
92,Baileys`           ,2.0,120.00,27.02.2023
105,"Prosecco - Alzaia Glera 0,1l ",1.0,49.00,27.02.2023
107,Svařené víno       ,1.0,65.00,27.02.2023
200,Lotus dort         ,1.0,89.00,27.02.2023
201,Čokoládovo-ořechový dort ,2.0,178.00,27.02.2023
10,Espresso           ,4.0,208.00,28.02.2023
11,Espresso Lungo     ,1.0,52.00,28.02.2023
13,Americano          ,1.0,55.00,28.02.2023
14,Cappuccino         ,1.0,65.00,28.02.2023
15,Flat White         ,1.0,75.00,28.02.2023
16,Espresso Macchiato ,1.0,55.00,28.02.2023
17,Latté Macchiato    ,4.0,276.00,28.02.2023
21,Vídeňská káva      ,1.0,62.00,28.02.2023
22,Alžírská káva      ,1.0,69.00,28.02.2023
30,Domácí limonáda,3.0,195.00,28.02.2023
37,"Jemně perlivá 0,33l ",1.0,39.00,28.02.2023
38,"Neperlivá 0,33l    ",1.0,39.00,28.02.2023
49,Čaj - Levandule&heřmánek ,1.0,55.00,28.02.2023
75,Lillet Pink Spritz ,2.0,218.00,28.02.2023
105,"Prosecco - Alzaia Glera 0,1l ",5.0,245.00,28.02.2023
107,Svařené víno       ,1.0,65.00,28.02.2023
201,Čokoládovo-ořechový dort ,1.0,89.00,28.02.2023
203,Mechový dort       ,2.0,198.00,28.02.2023
208,Red Velvet         ,1.0,99.00,28.02.2023
220,Pana Cotta         ,2.0,138.00,28.02.2023
10,Espresso           ,2.0,104.00,01.03.2023
11,Espresso Lungo     ,6.0,312.00,01.03.2023
13,Americano          ,1.0,55.00,01.03.2023
